owner,repo,full_name,stargazers_count,subscribers_count,open_issues_count,forks_count,fork,html_url_repo,watchers_count,workflow_id,badge_url,html_url_run,run_conclusion,commit_message,commit_id
espinielli,addressbook,espinielli/addressbook,0,1,0,0,FALSE,https://github.com/espinielli/addressbook,0,NA,NA,NA,NA,NA,NA
espinielli,astraljs,espinielli/astraljs,7,2,0,1,FALSE,https://github.com/espinielli/astraljs,7,NA,NA,NA,NA,NA,NA
espinielli,bartholomew_explained,espinielli/bartholomew_explained,0,2,0,1,FALSE,https://github.com/espinielli/bartholomew_explained,0,NA,NA,NA,NA,NA,NA
espinielli,blog,espinielli/blog,0,1,0,1,FALSE,https://github.com/espinielli/blog,0,NA,NA,NA,NA,NA,NA
espinielli,cf,espinielli/cf,0,1,0,0,FALSE,https://github.com/espinielli/cf,0,NA,NA,NA,NA,NA,NA
espinielli,chronos,espinielli/chronos,1,2,0,1,FALSE,https://github.com/espinielli/chronos,1,NA,NA,NA,NA,NA,NA
espinielli,circflows,espinielli/circflows,0,1,0,0,FALSE,https://github.com/espinielli/circflows,0,NA,NA,NA,NA,NA,NA
espinielli,circr,espinielli/circr,0,1,0,0,FALSE,https://github.com/espinielli/circr,0,NA,NA,NA,NA,NA,NA
espinielli,dotfiles,espinielli/dotfiles,3,1,0,0,FALSE,https://github.com/espinielli/dotfiles,3,NA,NA,NA,NA,NA,NA
espinielli,espinielli,espinielli/espinielli,0,1,0,0,FALSE,https://github.com/espinielli/espinielli,0,NA,NA,NA,NA,NA,NA
espinielli,eweb,espinielli/eweb,1,1,0,0,FALSE,https://github.com/espinielli/eweb,1,NA,NA,NA,NA,NA,NA
espinielli,firs,espinielli/firs,1,1,0,2,FALSE,https://github.com/espinielli/firs,1,NA,NA,NA,NA,NA,NA
espinielli,flowsr,espinielli/flowsr,0,1,0,0,FALSE,https://github.com/espinielli/flowsr,0,NA,NA,NA,NA,NA,NA
espinielli,homebrew-rubinetto,espinielli/homebrew-rubinetto,0,1,0,0,FALSE,https://github.com/espinielli/homebrew-rubinetto,0,NA,NA,NA,NA,NA,NA
espinielli,ifrflows,espinielli/ifrflows,0,1,0,0,FALSE,https://github.com/espinielli/ifrflows,0,NA,NA,NA,NA,NA,NA
espinielli,italian-comuni-bot,espinielli/italian-comuni-bot,3,1,0,0,FALSE,https://github.com/espinielli/italian-comuni-bot,3,4525345,https://github.com/espinielli/italian-comuni-bot/workflows/italian-comuni-bot/badge.svg,https://github.com/espinielli/italian-comuni-bot/actions/runs/565957859,success,stored index of last tweeted map,4b9a88f33527b8d7d2ac4be0c22dfe9978df3a0c
espinielli,knowledgecity,espinielli/knowledgecity,0,1,0,0,FALSE,https://github.com/espinielli/knowledgecity,0,NA,NA,NA,NA,NA,NA
espinielli,osn,espinielli/osn,2,1,1,1,FALSE,https://github.com/espinielli/osn,2,NA,NA,NA,NA,NA,NA
espinielli,pycalcal,espinielli/pycalcal,21,4,2,8,FALSE,https://github.com/espinielli/pycalcal,21,NA,NA,NA,NA,NA,NA
espinielli,pyometa,espinielli/pyometa,1,1,0,0,FALSE,https://github.com/espinielli/pyometa,1,NA,NA,NA,NA,NA,NA
espinielli,raytracing,espinielli/raytracing,0,1,0,0,FALSE,https://github.com/espinielli/raytracing,0,NA,NA,NA,NA,NA,NA
espinielli,RintheAIR,espinielli/RintheAIR,2,0,0,0,FALSE,https://github.com/espinielli/RintheAIR,2,NA,NA,NA,NA,NA,NA
espinielli,scrap,espinielli/scrap,0,1,0,0,FALSE,https://github.com/espinielli/scrap,0,NA,NA,NA,NA,NA,NA
espinielli,showandtell,espinielli/showandtell,0,1,0,0,FALSE,https://github.com/espinielli/showandtell,0,NA,NA,NA,NA,NA,NA
espinielli,status,espinielli/status,0,1,0,0,FALSE,https://github.com/espinielli/status,0,4394767,https://github.com/espinielli/status/workflows/Render%20Status/badge.svg,https://github.com/espinielli/status/actions/runs/751133356,NA,[status] 2021-04-14 07:26:40 UTC,cfed39379a8e9616bbc64696ccb0d8f73b272a00
espinielli,stcalcal,espinielli/stcalcal,3,1,0,1,FALSE,https://github.com/espinielli/stcalcal,3,NA,NA,NA,NA,NA,NA
espinielli,theblitz,espinielli/theblitz,1,1,0,0,FALSE,https://github.com/espinielli/theblitz,1,NA,NA,NA,NA,NA,NA
espinielli,watch,espinielli/watch,0,1,0,0,FALSE,https://github.com/espinielli/watch,0,NA,NA,NA,NA,NA,NA
espinielli,wiki-plugin-literate,espinielli/wiki-plugin-literate,0,1,0,0,FALSE,https://github.com/espinielli/wiki-plugin-literate,0,NA,NA,NA,NA,NA,NA
espinielli,wiki-plugin-tangle,espinielli/wiki-plugin-tangle,0,1,1,0,FALSE,https://github.com/espinielli/wiki-plugin-tangle,0,NA,NA,NA,NA,NA,NA
euctrl-pru,nvctr,euctrl-pru/nvctr,8,1,2,0,FALSE,https://github.com/euctrl-pru/nvctr,NA,1736653,https://github.com/euctrl-pru/nvctr/workflows/R-CMD-check/badge.svg,https://github.com/euctrl-pru/nvctr/actions/runs/334047205,success,prepare for v0.1.5,6cdb615648d4608921be0b3e73e008683a691f60
euctrl-pru,nvctr,euctrl-pru/nvctr,8,1,2,0,FALSE,https://github.com/euctrl-pru/nvctr,NA,1736407,https://github.com/euctrl-pru/nvctr/workflows/pkgdown/badge.svg,https://github.com/euctrl-pru/nvctr/actions/runs/334047201,success,prepare for v0.1.5,6cdb615648d4608921be0b3e73e008683a691f60
euctrl-pru,nvctr,euctrl-pru/nvctr,8,1,2,0,FALSE,https://github.com/euctrl-pru/nvctr,NA,1736654,https://github.com/euctrl-pru/nvctr/workflows/Render%20README/badge.svg,https://github.com/euctrl-pru/nvctr/actions/runs/334034661,success,new patch version,d6a83f433c74bd11480381dbab33fd97762386fb
euctrl-pru,trrrj,euctrl-pru/trrrj,10,2,12,4,FALSE,https://github.com/euctrl-pru/trrrj,NA,1176945,https://github.com/euctrl-pru/trrrj/workflows/R-CMD-check/badge.svg,https://github.com/euctrl-pru/trrrj/actions/runs/733527370,success,missing closed string,cd0a0c7dc5f8d72c99cb7d5b0a4b8a81996421e4
euctrl-pru,trrrj,euctrl-pru/trrrj,10,2,12,4,FALSE,https://github.com/euctrl-pru/trrrj,NA,1356035,https://github.com/euctrl-pru/trrrj/workflows/pkgdown/badge.svg,https://github.com/euctrl-pru/trrrj/actions/runs/733527371,success,missing closed string,cd0a0c7dc5f8d72c99cb7d5b0a4b8a81996421e4
euctrl-pru,trrrj,euctrl-pru/trrrj,10,2,12,4,FALSE,https://github.com/euctrl-pru/trrrj,NA,1177097,https://github.com/euctrl-pru/trrrj/workflows/Render%20README/badge.svg,https://github.com/euctrl-pru/trrrj/actions/runs/152901322,success,official version 0.1.0,e6f12b98b3bf3d53b58e4afca0d47189983d84b4
